Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
AImotive Inc.,AVT036,2019.12.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.03,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.04,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.04,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.04,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.04,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.04,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.05,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.05,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.05,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.06,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.06,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.06,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2019.12.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.06,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.06,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.06,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
